feature1,feature2,category1,category2,gender,target
2.5,1.1,A,X,male,0
3.8,2.9,B,Y,female,1
1.0,0.5,A,Z,male,0
4.2,3.3,C,X,female,1
2.1,1.8,B,Y,male,0
3.5,2.5,A,Z,female,1
1.5,0.9,C,X,male,0
4.0,3.1,B,Y,female,1
2.8,2.0,A,,male,0
3.1,2.2,,Y,female,1
1.2,0.7,C,Z,male,0
4.5,3.5,B,X,female,1
2.3,1.5,A,Y,male,0
3.3,2.7,C,Z,female,1
1.8,1.3,B,X,male,0
4.8,3.8,A,Y,female,1
2.0,,C,Z,male,0
3.6,3.0,B,X,female,1
1.7,1.0,A,Y,male,0
4.1,3.2,C,Z,female,1
,2.1,B,X,male,0
3.9,3.4,A,Y,female,1
2.2,1.9,C,Z,male,0
3.4,2.6,B,X,female,1
1.9,1.4,A,Y,male,0
4.3,3.6,C,Z,female,1
2.6,1.6,B,X,male,0
3.7,2.8,A,Y,female,1
1.1,0.6,C,Z,male,0
4.6,3.7,B,X,female,1
